CVE,Uptime,Updated
CVE-2024-1451,2024-02-21T00:00:00,yes
CVE-2024-1441,2024-03-20T00:00:00,yes
CVE-2024-1403,2024-03-15T00:00:00,yes
CVE-2024-1402,2024-02-14T00:00:00,yes
CVE-2024-1394,2024-03-21T00:00:00,yes
CVE-2024-1351,2024-03-21T00:00:00,yes
CVE-2024-1347,2024-04-25T00:00:00,yes
CVE-2024-1313,2024-04-12T00:00:00,yes
CVE-2024-1283,2024-02-06T00:00:00,yes
CVE-2024-1250,2024-02-09T00:00:00,yes
CVE-2024-1221,2024-04-16T00:00:00,yes
CVE-2024-1141,2024-02-12T00:00:00,yes
CVE-2024-1086,2024-02-19T00:00:00,yes
CVE-2024-1085,2024-02-20T00:00:00,yes
CVE-2024-1066,2024-02-07T00:00:00,yes
CVE-2024-1062,2024-03-16T00:00:00,yes
CVE-2024-1059,2024-01-30T00:00:00,yes
CVE-2024-1048,2024-03-18T00:00:00,yes
CVE-2024-1019,2024-02-19T00:00:00,yes
